epoch,lr,train_loss,train_psnr,train_ssim,train_budget,val_loss,val_psnr,val_ssim
1,0.00010000,0.009193,27.6257,0.863744,0.260561,0.007817,27.9220,0.882777
2,0.00009780,0.009157,27.6516,0.863980,0.275251,0.007535,28.0411,0.887928
3,0.00009141,0.009166,27.6492,0.864018,0.267673,0.007601,27.9692,0.886529
4,0.00008145,0.009218,27.6051,0.863042,0.281404,0.007365,28.2388,0.889371
5,0.00006891,0.009090,27.6614,0.864988,0.271350,0.007313,28.1826,0.890879
6,0.00005500,0.008970,27.7770,0.866817,0.261736,0.007799,27.9146,0.883152
7,0.00004109,0.009300,27.6087,0.862036,0.280263,0.007413,28.2077,0.888582
8,0.00002855,0.009042,27.7186,0.865587,0.265460,0.007372,28.2084,0.889449
9,0.00001859,0.008795,27.8509,0.869010,0.251367,0.008158,27.6168,0.878475
10,0.00001220,0.008942,27.8088,0.867071,0.261833,0.008134,27.6078,0.878894
