epoch,train_loss,train_psnr,train_ssim,train_budget,val_loss,val_psnr,val_ssim
1,0.048232,17.5351,0.475847,0.437411,0.036113,19.4249,0.537929
2,0.029983,20.8433,0.589295,0.406419,0.031966,20.1417,0.593128
3,0.024970,21.8444,0.651929,0.387659,0.023143,21.8698,0.685522
4,0.021532,22.6905,0.694259,0.338807,0.019147,23.4017,0.723502
5,0.019013,23.3469,0.727465,0.334897,0.020178,22.9725,0.718085
6,0.017369,23.7247,0.751657,0.324960,0.016013,24.0133,0.772346
7,0.016023,24.1335,0.770819,0.315855,0.018043,23.7340,0.753876
8,0.015304,24.3172,0.781651,0.342285,0.013352,24.8043,0.811874
9,0.014254,24.6992,0.795475,0.338153,0.012317,25.6356,0.818234
10,0.013098,25.5242,0.808160,0.330579,0.012483,25.8529,0.815289
11,0.012876,25.6325,0.810948,0.347291,0.011261,26.1509,0.833932
12,0.012782,25.6205,0.812741,0.339921,0.011015,26.5633,0.833933
13,0.012736,25.5358,0.814121,0.357967,0.012022,25.7301,0.824320
14,0.012577,25.5876,0.816791,0.351689,0.010802,26.3287,0.839944
15,0.012403,25.5875,0.820078,0.337742,0.010813,26.3248,0.839431
16,0.012623,25.4502,0.817577,0.351496,0.011171,25.5856,0.842502
17,0.012145,25.6390,0.824073,0.326687,0.010373,26.6971,0.844235
18,0.011700,25.8438,0.830004,0.302821,0.012534,25.1577,0.819481
19,0.011687,25.8808,0.830371,0.304860,0.012097,24.9251,0.831091
20,0.011381,26.0898,0.834010,0.303770,0.011305,25.2376,0.843828
21,0.011165,26.1669,0.837083,0.286194,0.010652,25.9700,0.846181
22,0.011203,26.1999,0.836517,0.293658,0.010693,25.8544,0.845898
23,0.011279,26.1388,0.835606,0.299408,0.009400,26.9247,0.860548
24,0.011026,26.3228,0.838868,0.284930,0.009350,27.1118,0.859897
25,0.010770,26.4091,0.842505,0.271479,0.009539,26.8181,0.858188
26,0.010667,26.5032,0.843631,0.271694,0.009110,27.2351,0.863248
27,0.010811,26.4232,0.841797,0.282712,0.010531,25.8190,0.849983
28,0.010556,26.5857,0.845132,0.268386,0.009665,26.5176,0.858893
29,0.010506,26.6129,0.845748,0.278182,0.009054,27.3152,0.863929
30,0.010393,26.6785,0.847384,0.265821,0.010258,25.3985,0.859958
31,0.010364,26.7026,0.847798,0.271542,0.010023,26.4599,0.852157
32,0.010497,26.6852,0.846002,0.269966,0.008662,27.0222,0.873448
33,0.010356,26.7404,0.847892,0.280057,0.009533,26.8315,0.857942
34,0.010068,26.8645,0.851746,0.257238,0.011228,25.5647,0.838622
35,0.010201,26.8210,0.850080,0.262285,0.008623,27.4177,0.871097
36,0.009937,27.1448,0.852987,0.260489,0.008236,27.7880,0.875862
37,0.009858,27.1973,0.853831,0.275434,0.008232,27.6252,0.877631
38,0.009875,27.1837,0.853799,0.267575,0.008204,27.6860,0.877158
39,0.009950,27.1008,0.852661,0.280773,0.008039,28.0450,0.877961
40,0.009879,27.0837,0.853969,0.271727,0.008525,27.1144,0.876073
41,0.009815,27.1247,0.855139,0.262164,0.009334,26.7738,0.862936
42,0.010194,26.9046,0.849936,0.280818,0.008347,27.6715,0.874479
43,0.009960,26.9707,0.853261,0.265239,0.009180,26.8734,0.864690
44,0.009720,27.0773,0.856579,0.251623,0.009871,26.0006,0.860203
45,0.009884,27.0161,0.854561,0.263048,0.009667,26.6889,0.856908
46,0.009774,27.1142,0.855751,0.270329,0.009097,27.1300,0.864411
47,0.009712,27.0804,0.856827,0.259657,0.009531,26.4272,0.861861
48,0.009893,27.0129,0.854309,0.269607,0.009348,26.9498,0.860920
49,0.010047,26.9463,0.852088,0.279278,0.008701,27.2641,0.870299
50,0.009936,27.0209,0.853673,0.270950,0.008440,27.4486,0.874173
51,0.009717,27.1012,0.856776,0.259224,0.009032,27.0270,0.865964
52,0.009748,27.0918,0.856322,0.260440,0.008725,27.3588,0.869351
53,0.009903,27.0290,0.854093,0.273832,0.009173,26.8769,0.864742
54,0.009710,27.1518,0.856720,0.261088,0.008482,27.4338,0.873535
55,0.009709,27.1401,0.856712,0.271834,0.008238,27.6856,0.876196
56,0.009628,27.1823,0.857940,0.260367,0.009253,26.2425,0.869706
57,0.009651,27.1748,0.857617,0.268206,0.008754,27.0319,0.871145
58,0.009841,27.1184,0.855119,0.267193,0.007948,27.8941,0.880563
59,0.009712,27.1595,0.856825,0.277506,0.008713,27.2493,0.870580
60,0.009430,27.3090,0.860578,0.254410,0.009755,26.2632,0.859812
61,0.009584,27.2416,0.858602,0.260127,0.008575,26.8078,0.876742
62,0.009470,27.3220,0.860161,0.259380,0.008265,27.5532,0.876587
63,0.009534,27.2890,0.859343,0.261841,0.008597,27.3316,0.872092
64,0.009473,27.3225,0.859961,0.263986,0.007921,27.7893,0.881830
65,0.009434,27.3260,0.860613,0.272261,0.008355,27.4583,0.875820
66,0.009567,27.2926,0.858696,0.266243,0.010280,25.8877,0.853335
67,0.009455,27.3521,0.860267,0.275452,0.008408,27.5508,0.874053
68,0.009467,27.3581,0.860203,0.269949,0.009562,26.5186,0.860773
69,0.009244,27.4699,0.863188,0.261998,0.008860,26.8152,0.872258
70,0.009293,27.4218,0.862600,0.259209,0.009348,26.8131,0.862028
71,0.009382,27.4072,0.861215,0.273650,0.007922,27.7686,0.881694
72,0.009355,27.4051,0.861712,0.256625,0.007965,27.6983,0.881368
73,0.009328,27.4102,0.862065,0.261627,0.007681,27.8593,0.885784
74,0.009384,27.4286,0.861325,0.268945,0.008203,27.6438,0.877179
75,0.009156,27.5239,0.864455,0.262131,0.007671,28.0915,0.884520
76,0.009324,27.4609,0.862059,0.264965,0.008008,27.5278,0.881824
77,0.009236,27.4801,0.863246,0.256563,0.009269,26.8643,0.863156
78,0.009534,27.3530,0.859254,0.273383,0.007975,27.6936,0.881342
79,0.009383,27.3962,0.861262,0.266134,0.007365,28.3037,0.889049
80,0.009246,27.4753,0.863133,0.254175,0.007775,28.0333,0.882708
81,0.009316,27.4515,0.862217,0.267134,0.007452,28.3271,0.887198
82,0.009240,27.4973,0.863182,0.268251,0.008330,27.4106,0.876180
83,0.009377,27.4490,0.861357,0.272917,0.008336,27.5035,0.875720
84,0.009128,27.5655,0.864748,0.261949,0.007804,27.6561,0.884876
85,0.009322,27.5031,0.862144,0.274527,0.007890,27.6786,0.883198
86,0.009230,27.5465,0.863312,0.268456,0.007600,27.8240,0.887725
87,0.009049,27.6552,0.865981,0.261142,0.007949,27.6614,0.881840
88,0.009149,27.6105,0.864370,0.270416,0.007432,28.2873,0.887768
89,0.009152,27.5918,0.864319,0.270468,0.007649,28.0065,0.885406
90,0.009147,27.5827,0.864413,0.266424,0.008044,27.7435,0.879528
91,0.009232,27.5535,0.863190,0.271293,0.007499,28.1789,0.887290
92,0.009097,27.6401,0.865209,0.269238,0.008324,27.5826,0.875497
93,0.009086,27.6336,0.865186,0.274718,0.007454,28.1620,0.887986
94,0.009135,27.5989,0.864538,0.272174,0.007905,27.5482,0.883706
95,0.009287,27.5085,0.862409,0.274861,0.007995,27.8116,0.880056
epoch,train_loss,train_psnr,train_ssim,train_budget,val_loss,val_psnr,val_ssim
1,0.047967,17.6438,0.474684,0.450101,0.033029,20.2401,0.555599
2,0.029794,20.8272,0.593778,0.433204,0.026663,21.2629,0.639820
3,0.024305,22.0220,0.660266,0.371720,0.021737,22.3496,0.700431
4,0.021073,22.8150,0.701688,0.346212,0.020082,22.8427,0.719485
5,0.019135,23.2736,0.729073,0.332547,0.016129,24.4936,0.762188
6,0.017700,23.6437,0.749243,0.335192,0.015688,24.6646,0.767112
