epoch,train_loss,train_psnr,train_ssim,train_budget,grid_avg_psnr,grid_avg_ssim,mono_score
11,0.025186,24.3974,0.763588,0.382688,25.2119,0.7813,1.0000
12,0.025191,24.5986,0.771106,0.357403,25.3197,0.7871,1.0000
13,0.025915,24.5707,0.772780,0.288978,25.0087,0.7899,1.0000
14,0.025428,24.8558,0.782195,0.185895,25.7048,0.7975,1.0000
15,0.024988,25.2551,0.791375,0.146993,22.8700,0.7379,0.3333
16,0.026755,24.7002,0.784561,0.135937,25.2875,0.7982,1.0000
17,0.026156,25.1027,0.793885,0.108745,25.6575,0.8055,1.0000
18,0.026178,25.3098,0.798784,0.093507,25.8804,0.8120,1.0000
19,0.025964,25.5807,0.804859,0.080978,26.0958,0.8165,1.0000
20,0.026694,25.5923,0.804963,0.080744,23.6110,0.7555,0.3333
