epoch,train_loss,train_psnr,train_ssim,train_budget,grid_avg_psnr,monotonic
1,0.097970,17.8789,0.456963,0.318648,20.2093,0
2,0.054717,20.6393,0.560962,0.070074,21.4319,1
3,0.043405,21.8873,0.620505,0.028222,22.3388,0
4,0.037741,22.5774,0.662334,0.017543,23.0633,0
5,0.033774,23.1228,0.694085,0.012778,23.0682,0
6,0.030639,23.6147,0.719168,0.009582,23.2561,0
7,0.029375,23.8208,0.731813,0.010502,23.1105,0
8,0.028154,24.0648,0.741269,0.008751,23.7131,0
9,0.027216,24.2380,0.749531,0.006510,23.6870,0
10,0.026573,24.3832,0.754002,0.006174,24.3134,0
11,0.025449,24.6510,0.761447,0.004832,24.6322,0
12,0.025256,24.7145,0.763117,0.004348,24.1216,0
13,0.024663,24.8347,0.767136,0.003558,24.0851,0
14,0.024346,24.9575,0.768875,0.003139,24.5431,0
15,0.023914,25.0567,0.772816,0.003355,24.7900,0
16,0.023472,25.1367,0.776036,0.002605,24.8152,0
17,0.023268,25.2179,0.777685,0.002488,24.7059,0
18,0.023670,25.1420,0.774974,0.002455,24.9986,0
19,0.022682,25.3816,0.781761,0.002233,24.7181,0
20,0.022855,25.3460,0.780624,0.002174,25.1423,0
21,0.023076,25.3213,0.779173,0.002192,24.9731,0
22,0.022462,25.4631,0.783177,0.002092,24.8460,0
23,0.022444,25.4844,0.784047,0.002053,24.8493,0
24,0.022472,25.4763,0.783842,0.002018,25.3106,0
25,0.022246,25.5483,0.785785,0.001799,25.2050,0
26,0.021893,25.6178,0.788303,0.001701,25.4576,0
27,0.022163,25.5801,0.785956,0.001766,25.1949,0
28,0.021890,25.6349,0.788207,0.001693,25.0253,0
29,0.021838,25.6484,0.788230,0.001628,24.6944,0
30,0.022004,25.6021,0.786917,0.001557,25.2281,0
31,0.021926,25.6598,0.788012,0.001750,25.1711,0
32,0.022132,25.5983,0.786080,0.001674,25.4088,0
33,0.021849,25.6730,0.787877,0.001682,25.0475,0
34,0.021752,25.6999,0.789181,0.001447,25.2781,1
35,0.021463,25.7718,0.791202,0.001687,25.1824,0
36,0.021499,25.7633,0.791516,0.001356,25.4145,0
37,0.021958,25.6934,0.787793,0.001624,25.4830,0
38,0.021569,25.7603,0.790344,0.001515,25.2690,1
39,0.021491,25.7859,0.791215,0.001456,25.5670,0
40,0.021055,25.8983,0.794543,0.001463,25.3628,0
41,0.021175,25.8651,0.793868,0.001353,25.6208,0
42,0.020995,25.9192,0.794782,0.001442,25.4342,0
43,0.021394,25.8320,0.792050,0.001388,25.3940,0
44,0.021009,25.9163,0.794860,0.001324,25.8031,0
45,0.021019,25.9230,0.794862,0.001255,25.6756,0
46,0.021296,25.8653,0.792868,0.001313,25.5194,0
47,0.021046,25.9166,0.794462,0.001280,25.5495,1
48,0.020739,26.0020,0.796698,0.001298,25.6743,0
49,0.020555,26.0419,0.798449,0.001188,25.8025,0
50,0.020866,25.9766,0.795897,0.001433,25.1735,0
51,0.021034,25.9437,0.794592,0.001194,25.8091,0
52,0.021053,25.9739,0.794646,0.001365,25.5825,0
53,0.020614,26.0366,0.797888,0.001048,25.8538,0
54,0.020708,26.0350,0.797104,0.001124,25.6688,0
55,0.020902,26.0085,0.795883,0.001203,25.8563,0
56,0.020684,26.0448,0.797408,0.001119,25.7875,0
57,0.020588,26.0594,0.797840,0.001054,25.6217,0
58,0.020876,26.0151,0.795985,0.001077,25.7656,0
59,0.020658,26.0888,0.797957,0.001072,25.6637,0
60,0.020413,26.1085,0.799247,0.000997,25.8449,0
61,0.020384,26.1125,0.799398,0.000981,25.7265,0
62,0.020347,26.1408,0.799689,0.001067,25.7581,0
63,0.020373,26.1474,0.799563,0.000918,25.8307,0
64,0.020386,26.1359,0.799376,0.001063,25.8214,0
65,0.020493,26.1194,0.798644,0.000948,25.7683,0
66,0.020476,26.1083,0.798535,0.000905,25.7536,0
67,0.020796,26.0577,0.796191,0.001173,25.8571,0
68,0.020370,26.1482,0.799412,0.000992,25.8713,0
69,0.020595,26.1223,0.797799,0.001032,25.8894,0
70,0.020152,26.1874,0.800901,0.000867,25.7960,0
